省份,城市,区域,商圈,资源名称,详细地址,楼盘类型,楼栋数量,单元门数量,楼盘价格,住户数量,入住年份,广告限制,大门口媒体面数,单元内媒体数,其他媒体面数,总媒体面数
四川省,成都市,锦江区,锦江九眼桥,朝阳逸景,莲花西路76号,社区,3,0.0,17722,237,2000,,0,1,0,1
四川省,成都市,武侯区,武侯 草金立交,上道西城C区,武侯区武青北路76号,社区,20,25.0,16865,2110,2008,"不孕不育,低俗,低俗医疗,内衣内裤,医美整形,沐足SPA",0,22,0,22
四川省,成都市,成华区,成华 驷马桥,三友香澜半岛,成华区赤虎桥南街1号,社区,8,16.0,20867,1930,2012,"不孕不育,低俗,低俗医疗,内衣内裤,医美整形,沐足SPA",0,33,0,33
四川省,成都市,锦江区,锦江蓝谷地,华固一品,锦江区玉兰街209号,社区,1,8.0,20750,304,2015,,0,16,0,16
四川省,成都市,成华区,成华 万年场,观城,成华区双成五路66号,社区,12,12.0,26110,2367,2011,,2,0,0,2
四川省,成都市,青羊区,青羊区 金沙,中大君悦金沙1期,蜀辉路19号中大君越金沙,社区,10,27.0,25998,1082,2008,"不孕不育,中介,低俗,低俗医疗,内衣内裤,医美整形,房屋地产,房屋租赁,沐足SPA,物业",4,30,0,34
四川省,成都市,锦江区,锦江?万达,万达锦华城,锦江区锦华路一段68号,社区,1,10.0,18397,2846,2008,,0,35,0,35
四川省,成都市,金牛区,金牛 茶店子,金璐天下,茶店子西街36号,社区,2,3.0,11199,1710,2008,,0,5,0,5
四川省,成都市,金牛区,金牛 五块石,芙华幸福彼岸,金牛区沙河源南路1号,社区,3,9.0,14102,1399,2007,,0,18,0,18
四川省,成都市,青羊区,青羊 府南新区,清江花园2期,青羊区清江东路8号,社区,5,7.0,18008,520,2006,,0,4,0,4
四川省,成都市,青羊区,青羊 外金沙,鸿运之星,青羊区蜀清路239号,社区,4,15.0,11794,847,2006,,0,30,0,30
四川省,成都市,金牛区,金牛 五块石,第一园,金牛区蓉北商贸大道二段278号,社区,4,11.0,14135,505,2007,,1,22,0,23
四川省,成都市,青羊区,青羊 外金沙,金沙愉景一期,青羊区三环路西四段清波路385号,社区,10,37.0,20511,647,2007,"不孕不育,低俗,低俗医疗,内衣内裤,医美整形,沐足SPA",0,56,0,56
四川省,成都市,金牛区,金牛 花照壁,嘉宇天琢城,金府路191号,社区,1,4.0,14845,832,2007,,1,8,0,9
四川省,成都市,金牛区,金牛 茶店子,西西学府里二期,金牛区育仁北路123号,社区,4,7.0,16052,724,2000,,2,26,0,28
四川省,成都市,金牛区,金牛 花照壁,花朝月盈,金牛区长福街28号,社区,6,22.0,14726,314,2002,,0,44,0,44
四川省,成都市,龙泉驿区,龙泉驿 洪河,武城大观城市花园二期,龙泉驿区悦来路98号,社区,10,21.0,15494,566,2000,"不孕不育,低俗,低俗医疗,内衣内裤,医美整形,沐足SPA",0,42,0,42
四川省,成都市,双流区,双流 航空港,温哥华花园1期,机场路常乐二段12号,社区,8,37.0,13710,593,2007,,1,89,0,90
四川省,成都市,金牛区,金牛 花照壁,金府路6号,金府路248号,社区,16,47.0,14701,856,2005,,0,92,0,92
四川省,成都市,龙泉驿区,龙泉驿 洪河,武城大观城市花园一期,龙泉驿区悦来路38号,社区,11,28.0,13704,560,2000,"不孕不育,低俗,低俗医疗,内衣内裤,医美整形,沐足SPA",0,56,0,56
四川省,成都市,武侯区,武侯 草金立交,富邑华庭,武侯区草金南路24号,社区,3,9.0,15379,612,2007,,0,18,0,18
四川省,成都市,青羊区,青羊 草市街,时代天骄,青羊区太升北路64号,社区,1,2.0,13021,672,2001,"不孕不育,低俗,低俗医疗,内衣内裤,医美整形,沐足SPA",0,4,0,4
四川省,成都市,锦江区,锦江 红星路,宜家HOME,成都锦江区东安北路20号宜家,社区,1,5.0,30255,322,2004,,1,10,0,11
四川省,成都市,青羊区,青羊 贝森,上城生活馆,东顺路191号,社区,3,8.0,18037,458,2004,,0,15,0,15
四川省,成都市,金牛区,金牛 茶店子,西西学府里一期,金牛区茶店子育人北路128号,社区,2,4.0,18769,660,2007,,2,16,0,18
四川省,成都市,高新区,高新 衣冠庙,超洋花园,永丰路4号,社区,17,23.0,17512,3291,2000,,0,45,0,45
四川省,成都市,金牛区,金牛 国宾,仁和香榭广场,金牛区迎宾大道166号(地铁2号线迎宾大道C出口旁),社区,2,4.0,13405,549,2014,"不孕不育,中介,低俗,低俗医疗,内衣内裤,医美整形,房屋地产,房屋租赁,沐足SPA,物业",0,8,0,8
四川省,成都市,郫都区,犀浦,金枫名苑,郫都区两河东路99号,社区,3,7.0,13371,783,2011,,2,14,2,18
四川省,成都市,青羊区,青羊 府南新区,香榭名苑,同善桥南街9号,社区,22,27.0,18726,632,2002,,0,27,0,27
四川省,成都市,武侯区,武侯双楠,新空间花园,紫藤路8号,社区,1,7.0,16863,308,2001,,1,14,0,15
四川省,成都市,成华区,成华 龙潭寺,东润豪庭,龙潭寺南路180号(东三环外侧与龙潭立交交汇处),社区,1,9.0,12018,701,2010,,2,20,0,22
四川省,成都市,成华区,成华 龙潭寺,北湖龙郡,成华大道龙潭路1号,社区,6,6.0,15707,1008,2009,,0,12,0,12
四川省,成都市,青羊区,青羊 外光华,光华杏林,青羊区同辉南路256号,社区,7,12.0,17401,2713,2007,,0,24,0,24
四川省,成都市,锦江区,锦江 川师,爱丁郡院,菱窠路300号,社区,5,9.0,21949,722,2007,,4,18,0,22
四川省,成都市,青羊区,青羊 府南新区,潮蓉花园,青羊区同善桥南街6号,社区,5,22.0,15378,379,2000,,4,44,0,48
四川省,成都市,成华区,成华?万年场,长天路8号10号,长天路8-10号,社区,2,4.0,11276,353,2002,,2,0,0,2
四川省,成都市,成华区,成华?万年场,长天路16号18号,成华区长天路16号,社区,2,4.0,13249,1400,1996,,2,0,0,2
四川省,成都市,成华区,成华?驷马桥,兴元华盛2期,成华区羊子山西路69号,社区,4,4.0,15334,1631,2010,,4,0,0,4
四川省,成都市,双流区,双流航空港,信达银泰花园,双流区西南航空港经济开发区临港路三段18号,社区,11,11.0,15784,334,2009,,4,0,0,4
四川省,成都市,成华区,成华 驷马桥,新绿苑,成华区升仙湖北路66号,社区,21,40.0,12189,723,2005,,4,0,0,4
四川省,成都市,武侯区,神仙树,新和领航,武侯区新盛路469号,社区,2,7.0,8711,630,2012,,2,0,0,2
四川省,成都市,成华区,成华?驷马桥,仙湖公馆,成华区洪山北路99号,社区,6,6.0,20499,2517,2013,,4,0,2,6
四川省,成都市,成华区,成华?万年场,水岸东里1期,成华区万年场街道跳蹬河南路18号水岸东里,社区,5,5.0,13886,2134,2000,,2,0,0,2
四川省,成都市,成华区,成华?驷马桥,融锦城,成华区羊子山路88号,社区,5,7.0,19335,1045,2012,,2,21,0,23
四川省,成都市,成华区,成华?双桥子,明信鹭湾B区,成华区御风一路6号,社区,3,3.0,24373,954,2013,,2,0,0,2
四川省,成都市,成华区,成华 万年场,明信鹭湾A区,成华区御风一路9号,社区,5,5.0,24373,954,2013,,2,0,0,2
四川省,成都市,成华区,成华?万年场,隆鑫九熙一期,建材路29号,社区,5,5.0,17491,1511,2012,"不孕不育,中介,低俗,低俗医疗,内衣内裤,医美整形,房屋地产,房屋租赁,沐足SPA,物业",2,5,0,7
四川省,成都市,高新区,高新 中和,领馆区一号,高新区中和大道1段99号,社区,4,13.0,21000,1500,2010,,1,95,0,96
