省（直辖市）,城市,播控形式,城市级别,行政区,商圈,点位名称,场景,位置,尺寸（宽*高）,面积,MR尺寸,时长（S）,轮播频次(次/天),周期,周客流（万）,120刊例价,180刊例价,地址,亮屏时间
北京,北京,数智播控,一线,朝阳,常营商圈,北京龙湖长楹天街,中庭,西区二层中庭,12*3.5,42.0,,15.0,,1,35.0,52800.0,70000.0,北京市朝阳区常通镇常通路2号院,9:50-22:10
北京,北京,数智播控,一线,朝阳,大望路商圈,北京合生汇购物中心,中庭,中庭,16*7,112.0,,15.0,,1,36.0,58800.0,78000.0,北京市朝阳区西大望路21号,9:50-22:10
北京,北京,数智播控,一线,朝阳,大望路商圈,北京金地广场,通道,一层滚梯上方,4.8*2.24,10.752,,15.0,,1,35.0,45000.0,60000.0,北京市朝阳区建国路91号,7:50-22:10
北京,北京,数智播控,一线,朝阳,青年路商圈,北京常营华联购物中心,中庭,东区中庭,9*7,63.0,,15.0,,1,28.0,52800.0,70000.0,北京市朝阳区朝阳北路17号,9:20-21:40
北京,北京,数智播控,一线,朝阳,青年路商圈,北京朝阳大悦城,中庭,四层中庭,8.445*4.86,41.09,,15.0,,1,39.0,58800.0,78000.0,北京市朝阳区朝阳北路101号,9:50-22:10
北京,北京,数智播控,一线,朝阳,望京商圈,北京望京新世界百货,中庭,中庭环廊（跨层）,5*10,50.0,,15.0,,1,28.0,45000.0,60000.0,北京市朝阳区广顺南大街16号院,9:50-22:10
北京,北京,数智播控,一线,朝阳,亚运村商圈,北京天虹百货新奥店,中庭,中庭,15*3,45.0,,15.0,,1,30.0,45000.0,60000.0,北京市朝阳区湖景东路9号,9:50-22:10
北京,北京,数智播控,一线,大兴,黄村商圈,北京大兴大悦春风里,中庭,F座中庭,14*7.5,105.0,,15.0,,1,26.0,37800.0,50000.0,北京市大兴区黄村镇黄村东大街38号院,9:50-22:10
北京,北京,数智播控,一线,大兴,黄村商圈,北京大兴绿地缤纷城,中庭,中庭,5.5*11.5,63.25,,15.0,,1,28.0,37800.0,50000.0,北京市大兴区黄村镇金星西路,9:50-22:10
北京,北京,数智播控,一线,大兴,旧宫商圈,北京旧宫万科广场（原北京住总万科广场）,中庭,B1层西侧中庭环廊,16*3,48.0,,15.0,,1,27.0,45000.0,60000.0,北京市大兴区忠凉路1号院,9:50-22:10
