序号,行政区域,商圈,社区名称,楼盘性质,社区地址,媒体数量,媒体位置,道闸画面尺寸,灯箱显示画面尺寸,楼盘均价,交房时间,楼盘户数,楼盘居住总人数,日人流量,车位数,日车流量,禁忌行业
1,白云区,白云大道北商圈,百世商业广场,商业广场,广州市白云区集贤路280号,1,进口,830*3290,480*845,,2000,2000,30000,450000,1000,250000,没有限制
2,白云区,白云大道北商圈,百世商业广场,商业广场,广州市白云区集贤路280号,1,出口,830*3290,480*845,,2000,2000,30000,450000,1000,250000,没有限制
3,白云区,白云大道北商圈,百世商业广场,商业广场,广州市白云区集贤路280号,1,进口,830*3700,480*845,,2000,2000,30000,450000,1000,250000,没有限制
4,白云区,白云大道北商圈,百世商业广场,商业广场,广州市白云区集贤路280号,1,出口,830*3700,480*845,,2000,2000,30000,450000,1000,250000,没有限制
5,白云区,白云大道北商圈,百世商业广场,商业广场,广州市白云区集贤路280号,1,出口,830*3700,480*845,,2000,2000,30000,450000,1000,250000,没有限制
6,白云区,白云大道北商圈,财富名门,综合商业、写字楼,白云区同泰路85号,1,对开进口1,750*2800,440*920,,2020,2500,25000,40000,1200,72000,没有限制
7,白云区,白云大道北商圈,财富名门,综合商业、写字楼,白云区同泰路85号,1,对开进口2,750*2800,440*920,,2020,2500,25000,40001,1200,72000,没有限制
8,白云区,白云大道北商圈,财富名门,综合商业、写字楼,白云区同泰路85号,1,对开出口1,750*2800,440*920,,2020,2500,25000,40002,1200,72000,没有限制
9,白云区,白云大道北商圈,财富名门,综合商业、写字楼,白云区同泰路85号,1,对开出口2,750*2800,440*920,,2020,2500,25000,40003,1200,72000,没有限制
10,白云区,白云大道北商圈,财富名门,综合商业、写字楼,白云区同泰路85号,1,混进混出,830*3536,440*920,,2020,2500,25000,40004,1200,72000,没有限制
11,白云区,白云大道北商圈,财富名门,综合商业、写字楼,白云区同泰路85号,1,混进混出,830*3700,440*920,,2020,2500,25000,40005,1200,72000,没有限制
12,白云区,白云大道北商圈,时代·依云小镇,高档住宅,白云区集贤路依云一街80号,1,进口,830*3290,480*845,34000.0,2010,800,3200,4800,600,3200,没有限制
13,白云区,白云大道北商圈,时代·依云小镇,高档住宅,白云区集贤路依云一街80号,1,出口,830*3290,480*845,34000.0,2010,800,3200,4800,600,3200,没有限制
