城市,行政区,楼宇名称,地址,楼宇性质,楼盘级别,入住日期,楼层,楼栋数,门洞数,租价,居住户数,入住人数,入住率,等候厅总数,等候厅媒体位,电梯总数,电梯媒体位,媒体位总数,大框数量,小框数量,受众描述,资源类型
北京,西城区,城市之光大厦,北京市西城区枣林前街119号,商住两用,AAA,20130701.0,16,1.0,1.0,93569.0,160.0,640.0,1.0,0.0,0.0,2,1.0,1.0,1.0,,,电梯框架
北京,西城区,岳峰园,西城区广安门内大街225号岳峰园三区,R-ap住宅,AAA,20001007.0,12,1.0,1.0,89000.0,108.0,432.0,1.0,0.0,0.0,2,1.0,1.0,1.0,,,电梯框架
北京,西城区,茗筑大厦,西城区 西站南路80号院茗筑大厦,商住两用,AAA,20070101.0,31,3.0,3.0,72000.0,420.0,1680.0,1.0,0.0,0.0,8,3.0,3.0,3.0,,,电梯框架
北京,西城区,（未来家园）,西城区半步桥44号院,R-ap住宅,AAA,19951001.0,24,2.0,3.0,120000.0,340.0,1360.0,1.0,0.0,0.0,4,3.0,3.0,3.0,,,电梯框架
北京,西城区,英嘉花园,西城区未英胡同49号英嘉花园,R-ap住宅,AAA,20010101.0,18,2.0,2.0,120000.0,176.0,704.0,1.0,0.0,0.0,4,4.0,4.0,4.0,,,电梯框架
北京,西城区,里仁街3号院,西城区里仁街3号里仁街3号院,R-ap住宅,AAA,20100205.0,17,2.0,2.0,122168.0,770.0,3080.0,1.0,0.0,0.0,4,4.0,4.0,4.0,,,电梯框架
北京,西城区,西罗园四区甲20和甲29号楼,马家堡东路四路通路33号,R-ap住宅,AAA,20010101.0,17,2.0,2.0,60000.0,248.0,992.0,1.0,0.0,0.0,4,4.0,4.0,4.0,,,电梯框架
北京,西城区,四合上院,西城区山西街6号院,R-ap住宅,AAA,20110301.0,10,5.0,46.0,160000.0,1508.0,6032.0,1.0,0.0,0.0,46,45.0,45.0,45.0,,,电梯框架
北京,通州区,蓝岛大厦,云景东路347号,写字楼,AAA,20061127.0,26,1.0,2.0,42177.0,300.0,1200.0,1.0,0.0,0.0,7,4.0,4.0,4.0,,,电梯框架
北京,通州区,东亚家园东区,北京市通州区湖亦路,R-ap住宅,AAA,20141201.0,13,4.0,10.0,28024.0,780.0,3120.0,1.0,0.0,0.0,15,10.0,10.0,10.0,,,电梯框架
北京,通州区,东亚家园西区,北京市通州区湖亦路,R-ap住宅,AAA,20141201.0,13,4.0,12.0,28000.0,930.0,3720.0,1.0,0.0,0.0,24,12.0,12.0,12.0,,,电梯框架
北京,通州区,摩卡空间,中山大街35号,R-ap住宅,AAA,20050601.0,17,4.0,14.0,58000.0,467.0,1868.0,1.0,0.0,0.0,20,12.0,12.0,12.0,,,电梯框架
北京,通州区,召里家园,召里家园,R-ap住宅,AAA,20051101.0,22,5.0,12.0,35000.0,1452.0,5808.0,1.0,0.0,0.0,24,24.0,24.0,24.0,,,电梯框架
北京,通州区,加华印象街,通州区通胡大街8号,R-ap住宅,AAA,20040531.0,11-21,13.0,59.0,55000.0,1826.0,7304.0,1.0,0.0,0.0,59,59.0,59.0,59.0,,,电梯框架
北京,顺义区,天竺悦城,花园西街与林荫路交叉路口,R-ap住宅,AAA,20150901.0,12,3.0,9.0,54125.0,320.0,1280.0,1.0,0.0,0.0,9,9.0,9.0,9.0,,,电梯框架
北京,顺义区,香花畦家园,北京市顺义区后沙峪镇东庄村香江北路1号,R-ap住宅,AAA,20070101.0,9,71.0,71.0,45000.0,1173.0,4692.0,1.0,0.0,0.0,71,68.0,68.0,68.0,,,电梯框架
北京,顺义区,枫泉花园,顺义区裕华路31号院,R-ap住宅,AAA,20051001.0,16,86.0,43.0,46000.0,2064.0,8256.0,1.0,0.0,0.0,43,86.0,86.0,86.0,,,电梯框架
北京,石景山区,景秀园,石景山区景阳东街67号院,R-ap住宅,AAA,20130601.0,30,3.0,6.0,48857.0,696.0,2784.0,1.0,0.0,0.0,12,6.0,6.0,6.0,,,电梯框架
北京,石景山区,地铁古城家园西区,八角北路与杨庄东街交叉口西北,R-ap住宅,AAA,20021201.0,25,4.0,4.0,35000.0,800.0,3200.0,1.0,0.0,0.0,8,6.0,6.0,6.0,,,电梯框架
北京,石景山区,地铁古城家园东区,八角北路与杨庄东街交叉口西北,R-ap住宅,AAA,20021201.0,24,3.0,3.0,35000.0,500.0,2000.0,1.0,0.0,0.0,6,6.0,6.0,6.0,,,电梯框架
北京,石景山区,枫景园,石景山区金顶北路59号枫景园,R-ap住宅,AAA,20090701.0,11-21,5.0,9.0,54000.0,580.0,2320.0,1.0,0.0,0.0,18,9.0,9.0,9.0,,,电梯框架
北京,石景山区,梧桐园,石景山区金顶北路18号院梧桐园,R-ap住宅,AAA,20090929.0,21,5.0,9.0,54000.0,530.0,2120.0,1.0,0.0,0.0,18,9.0,9.0,9.0,,,电梯框架
北京,石景山区,融景城西区,北京市石景山区景阳东街65-66号,R-ap住宅,AAA,20120601.0,20-30,7.0,14.0,65087.0,1200.0,4800.0,1.0,0.0,0.0,28,14.0,14.0,14.0,,,电梯框架
